MEMBER_NO,FFP_DATE,FIRST_FLIGHT_DATE,GENDER,FFP_TIER,WORK_CITY,WORK_PROVINCE,WORK_COUNTRY,AGE,LOAD_TIME,FLIGHT_COUNT,BP_SUM,SUM_YR_1,SUM_YR_2,SEG_KM_SUM,LAST_FLIGHT_DATE,LAST_TO_END,AVG_INTERVAL,MAX_INTERVAL,EXCHANGE_COUNT,avg_discount,Points_Sum,Point_NotFlight
34375,3/5/2013,3/9/2013,Male,4,wulumuqi,xinjiang,CN,35.0,3/31/2014,11,14561,2630.0,14073.0,32824,3/4/2014,28,36.1,109,0,0.648930356,14561,0
55352,2/21/2008,2/9/2009,Male,4,zhengzhou,henan,CN,48.0,3/31/2014,4,2753,640.0,1960.0,2957,10/31/2013,153,94.66666667,200,0,0.902671627,2753,0
30427,11/5/2009,11/5/2009,Male,5,guangzhou,guangdong,CN,44.0,3/31/2014,56,30304,17021.0,20380.0,45032,3/17/2014,15,12.72727273,75,0,0.7134808579999999,30754,0
10293,3/20/2009,2/17/2010,Male,4,shanghai,shanghai,CN,37.0,3/31/2014,2,2422,,0.0,2748,10/17/2012,532,7.0,7,0,1.0,2422,0
30654,11/1/2008,3/18/2009,Male,4,,,PH,56.0,3/31/2014,2,920,0.0,1700.0,2800,3/23/2014,9,3.0,3,0,0.655,920,0
15652,4/18/2012,4/18/2012,Male,4,sirishishi,sanzhongxian,JP,59.0,3/31/2014,3,2028,2380.0,0.0,2203,6/15/2012,656,29.0,50,0,1.0,2028,0
47287,5/17/2005,8/19/2005,Male,4,,,CN,45.0,3/31/2014,8,5747,2944.0,1269.0,8623,3/10/2014,22,98.57142857,355,0,0.836741273,5747,0
36206,1/24/2011,8/18/2011,Male,4,beijing,beijing,CN,30.0,3/31/2014,10,7419,0.0,8317.0,12494,1/9/2014,83,18.66666667,106,0,0.698643349,8078,11
15375,7/28/2012,7/28/2012,Male,4,shenzhen,guangdong,CN,39.0,3/31/2014,10,7173,2904.0,6447.0,15761,2/10/2014,51,62.44444444,157,0,0.631504346,7173,0
22445,3/5/2010,3/5/2010,Male,6,wuhan,hubei,CN,48.0,3/31/2014,38,32553,16800.0,13920.0,39658,3/26/2014,6,17.54054054,130,0,0.8376932779999999,32553,0
24903,11/20/2012,11/18/2013,Male,6,changsha,hunan,CN,68.0,3/31/2014,3,3418,0.0,3597.0,5142,3/17/2014,15,60.0,118,0,0.813407235,4855,3
15673,6/8/2012,6/8/2012,Male,4,qingdao,shandong,CN,50.0,3/31/2014,16,10134,5978.0,5002.0,17364,8/16/2013,229,28.93333333,112,0,0.6957682559999999,10134,0
1942,2/11/2013,4/4/2013,Male,4,shenzhen,guangdong,CN,34.0,3/31/2014,3,1452,0.0,686.0,4124,11/3/2013,150,106.5,210,0,0.493331717,1452,0
60075,4/5/2012,4/8/2012,Male,4,taibei,,TW,57.0,3/31/2014,2,856,1575.0,0.0,2390,4/12/2012,720,4.0,4,0,0.625,856,0
2078,2/12/2005,6/15/2005,Male,4,shanghai,shanghai,CN,55.0,3/31/2014,29,28955,4280.0,10794.0,41065,3/21/2014,11,25.28571429,80,0,0.786405942,28955,0
44099,7/27/2012,9/30/2012,Male,4,fushunshi,liaoningsheng,CN,52.0,3/31/2014,4,1266,1615.0,0.0,2278,11/5/2012,513,12.0,32,0,0.672366111,1266,0
32867,1/14/2013,2/1/2013,Male,4,shaoxing,zhejiangsheng,CN,32.0,3/31/2014,2,1401,1870.0,0.0,2240,2/14/2013,412,13.0,13,0,0.912946429,1401,0
30738,8/26/2009,12/19/2011,Male,4,wulumuqi,xinjiang,CN,35.0,3/31/2014,5,5080,0.0,4457.0,6663,3/15/2014,17,59.0,121,0,0.844892691,5580,1
40543,4/20/2010,4/20/2010,Male,4,shishou,hubei,CN,47.0,3/31/2014,2,1276,1241.0,0.0,1332,7/10/2012,631,0.0,0,0,0.85,1276,0
28795,8/8/2012,10/25/2012,Male,4,guangzhou,guangdong,CN,31.0,3/31/2014,9,6133,1123.0,6686.0,17138,6/15/2013,291,29.125,90,0,0.535407866,6133,0
27581,3/12/2013,3/27/2013,Male,4,beijing,beijing,CN,38.0,3/31/2014,5,7251,1010.0,4764.0,7604,10/27/2013,157,53.5,153,0,0.85054708,9766,13
12664,12/23/2009,12/23/2009,Male,5,wuhan,hubei,CN,37.0,3/31/2014,62,27974,6819.0,19164.0,31770,3/29/2014,3,11.19672131,39,0,0.82459616,29931,1
31467,11/30/2011,10/31/2013,Male,4,taibei,,TW,46.0,3/31/2014,2,2910,0.0,2755.0,3182,11/4/2013,149,4.0,4,0,0.845,2910,0
40453,1/6/2010,6/11/2013,Male,5,wenzhou,,CN,50.0,3/31/2014,4,23085,0.0,26176.0,18435,12/23/2013,100,65.0,131,0,1.065931109,23085,0
29447,5/12/2007,7/5/2007,Male,6,.,beijing,CN,48.0,3/31/2014,24,39819,27780.0,8912.0,36369,1/8/2014,84,27.82608696,147,0,1.159408012,43474,5
20496,5/18/2007,5/18/2007,Male,4,changshashi,hunansheng,CN,61.0,3/31/2014,3,722,1011.0,460.0,3403,7/18/2013,258,82.5,164,0,0.458192771,722,0
1221,9/16/2007,7/20/2012,Female,4,GARDENA,CA,US,47.0,3/31/2014,4,32568,12820.0,0.0,48928,10/18/2012,531,30.0,44,0,0.725,32568,0
4695,7/11/2010,7/11/2010,Female,4,guangzhou,guangdong,CN,29.0,3/31/2014,23,11756,15180.0,823.0,19786,12/5/2013,118,27.13636364,193,0,0.712177802,11856,1
13822,4/24/2011,4/24/2011,Female,4,guilin,guangxi,CN,28.0,3/31/2014,10,7402,1074.0,6896.0,9950,3/29/2014,3,76.33333333,411,0,0.7680552759999999,7402,0
27111,12/15/2009,1/25/2012,Male,4,shunde,guangdong,CN,39.0,3/31/2014,19,23316,0.0,26426.0,42288,3/16/2014,16,13.11111111,32,0,0.714760689,30029,28
16599,3/25/2013,3/25/2013,Male,4,shenyangshi,liaoningsheng,CN,57.0,3/31/2014,3,4218,1800.0,2750.0,8274,11/11/2013,142,115.5,229,0,0.686666667,4218,0
54019,12/9/2007,12/9/2007,Male,5,wulumuqi,xinjiang,CN,39.0,3/31/2014,19,31834,8902.0,12146.0,43422,3/3/2014,29,34.94444444,185,2,0.77452881,31834,2
3422,7/12/2008,9/8/2008,Male,4,guangzhou,guangdong,CN,37.0,3/31/2014,7,6039,6182.0,2130.0,13447,8/16/2013,229,79.83333333,193,1,0.721447163,7823,19
32167,4/3/2011,4/3/2011,Male,4,Flushing,,US,68.0,3/31/2014,8,6086,2528.0,3635.0,9815,12/3/2013,120,82.85714286,145,0,0.718042792,6086,0
12728,9/24/2008,1/24/2012,Male,4,beijing,beijing,CN,36.0,3/31/2014,7,8621,6960.0,864.0,10493,8/3/2013,242,76.66666667,175,0,0.889021252,8621,0
54235,9/30/2011,8/15/2012,Male,4,beijing,beijing,CN,56.0,3/31/2014,3,1152,490.0,1438.0,3049,10/31/2013,153,221.0,441,0,0.640964251,12718,29
36094,11/19/2010,12/6/2010,Male,4,guangzhou,guangdong,CN,34.0,3/31/2014,22,20995,12306.0,10257.0,34683,2/23/2014,38,32.04761905,184,0,0.7090750509999999,38336,43
16884,3/17/2012,3/17/2012,Male,4,Pyeongtaek-si,Gyeonggi-do,KR,40.0,3/31/2014,13,6114,12960.0,2380.0,12077,1/10/2014,82,52.66666667,215,0,0.803846154,6114,0
35272,3/7/2010,3/7/2010,Male,4,hangzhoushi,zhejiang,CN,38.0,3/31/2014,8,10770,1260.0,9560.0,19196,2/6/2014,55,93.85714286,389,0,0.724592103,10770,0
24899,10/26/2012,10/26/2012,Female,5,changsha,hunan,CN,50.0,3/31/2014,25,23058,4660.0,17546.0,31537,3/2/2014,30,20.54166667,97,0,0.8073196559999999,23058,0
45929,10/10/2006,8/6/2008,Male,4,beijing,beijing,CN,42.0,3/31/2014,41,45779,29975.0,19650.0,79016,3/18/2014,14,17.875,65,3,0.7251879370000001,45803,6
8713,3/13/2009,3/13/2009,Male,4,changchun,jilin,CN,46.0,3/31/2014,7,5796,3840.0,2649.0,6531,9/28/2013,186,75.0,315,0,0.965714286,5796,0
53686,11/1/2006,11/1/2006,Female,4,qingdao,shandong,CN,44.0,3/31/2014,20,16971,9556.0,4328.0,14555,1/28/2014,64,32.68421053,135,0,0.90849124,16971,0
8823,11/23/2008,11/23/2008,Male,4,haerbin,heilongjiang,CN,41.0,3/31/2014,20,17854,3440.0,8878.0,30803,3/19/2014,13,22.47368421,126,0,0.642536766,17854,0
33979,2/3/2013,2/6/2013,Male,4,LAGOS,LA,NI,36.0,3/31/2014,9,23170,6170.0,19780.0,54653,9/22/2013,192,28.5,77,0,0.567975226,23170,0
37526,1/19/2011,2/7/2011,Female,5,guangzhou,guangdong,CN,31.0,3/31/2014,26,32947,11067.0,19805.0,59040,3/31/2014,1,28.48,176,2,0.674485095,41827,25
47818,11/19/2007,4/7/2010,Male,4,guangzhou,guangdong,CN,37.0,3/31/2014,35,23838,16028.0,11421.0,34950,11/18/2013,135,17.32352941,66,0,0.709500143,23838,0
7930,1/18/2013,3/29/2013,Male,4,SEOUL,SEOUL,CN,52.0,3/31/2014,6,1624,693.0,3189.0,6394,3/4/2014,28,68.2,240,0,0.5183015329999999,1624,0
222,1/24/2011,12/22/2011,Male,4,zhengzhou,henan,CN,34.0,3/31/2014,5,3634,552.0,1270.0,6104,9/1/2013,213,113.0,270,0,0.694954128,7462,29
50491,8/23/2011,10/19/2011,Male,4,beijingshi,beijingshi,CN,51.0,3/31/2014,2,4594,0.0,3112.0,4639,11/1/2013,152,0.0,0,0,1.0407156709999998,4594,0
57429,6/29/2008,10/10/2008,Male,4,beijing,beijing,CN,35.0,3/31/2014,13,15422,4770.0,10158.0,18193,3/21/2014,11,52.91666667,116,0,0.8930061009999999,15422,0
43824,3/2/2010,4/20/2010,Male,5,dalian,liaoning,CN,49.0,3/31/2014,59,36341,18955.0,21337.0,62570,3/15/2014,17,12.20689655,87,1,0.7278382609999999,39674,3
18286,1/13/2011,8/2/2011,Male,4,guangzhou,guangdong,CN,33.0,3/31/2014,9,9626,6496.0,2550.0,12922,5/23/2013,314,44.875,114,0,0.7505920140000001,34996,31
58176,7/14/2010,7/29/2010,Male,4,shanghai,shanghai,CN,38.0,3/31/2014,3,4370,2583.0,1348.0,5335,2/25/2014,36,336.0,670,0,0.84404686,4370,0
49538,8/10/2010,8/10/2010,Male,4,guangzhou,guangdong,CN,56.0,3/31/2014,16,14881,3315.0,11849.0,31472,2/26/2014,35,46.06666667,206,1,0.5575,14881,1
6646,7/3/2012,7/3/2012,Female,4,yining,xinjiang,CN,27.0,3/31/2014,3,3462,2367.0,0.0,4514,9/30/2012,549,44.5,89,0,0.796245016,3462,0
20954,1/18/2008,3/15/2008,Female,4,beijing,beijing,CN,55.0,3/31/2014,4,5380,0.0,4865.0,4272,12/17/2013,106,79.33333333,226,0,1.304564607,5380,0
57898,3/4/2009,3/4/2009,Male,4,chengdu,sichuan,CN,40.0,3/31/2014,9,4224,2037.0,2649.0,8286,2/27/2014,34,56.125,216,0,0.6078843829999999,4224,0
23388,3/10/2012,3/10/2012,Male,4,qingdao,shandong,CN,47.0,3/31/2014,5,3669,0.0,2843.0,3485,3/19/2014,13,76.0,156,0,0.91282066,3669,0
10956,6/13/2007,6/13/2007,Male,4,shenzhen,guangdong,CN,37.0,3/31/2014,3,3391,0.0,3175.0,4820,1/22/2014,70,113.5,215,0,0.7433257259999999,3391,0
61418,3/10/2013,4/26/2013,Male,4,xian,shanxi,CN,28.0,3/31/2014,4,1026,0.0,2494.0,5039,12/10/2013,113,76.0,179,0,0.454492955,1026,0
17650,11/4/2005,11/4/2005,Female,4,changchun,jilin,CN,53.0,3/31/2014,46,39605,13178.0,20961.0,78058,3/19/2014,13,15.68888889,56,3,0.66311371,39605,3
38375,4/20/2007,9/18/2008,Male,4,,,HK,62.0,3/31/2014,5,2179,0.0,840.0,6872,4/29/2013,338,92.0,238,0,0.480034924,2179,0
61245,12/14/2012,12/14/2012,Male,4,Ogaki-shi,Gifu-ken,JP,37.0,3/31/2014,6,3414,4200.0,7000.0,9180,1/20/2014,72,80.4,349,0,0.666666667,3414,0
58572,3/1/2010,9/18/2010,Male,4,guangzhoushi,guangdongsheng,CN,53.0,3/31/2014,11,3767,3972.0,2058.0,11283,7/17/2013,259,41.0,127,0,0.527599929,5080,10
50634,12/22/2012,12/29/2012,Male,5,sanmenxia,henansheng,CN,33.0,3/31/2014,32,12262,5922.0,10921.0,27488,9/10/2013,204,8.225806452,40,0,0.6265625,13088,0
36083,11/17/2010,10/14/2011,Male,4,guangzhou,guangdong,CN,45.0,3/31/2014,6,5885,6228.0,0.0,10413,11/10/2012,508,30.6,101,0,0.660606934,7477,10
17049,8/9/2012,8/9/2012,Male,4,shenyangshi,liaoning,CN,45.0,3/31/2014,9,7492,3345.0,5538.0,15680,3/6/2014,26,71.875,165,0,0.63990051,7492,0
42486,4/9/2012,4/9/2012,Male,4,guangzhou,guangdong,CN,34.0,3/31/2014,4,4016,4319.0,0.0,5079,7/26/2012,615,36.0,88,0,0.880271707,4016,0
26700,12/25/2006,12/25/2006,Male,4,shenyang,liaoning,CN,48.0,3/31/2014,19,12514,6180.0,7016.0,14183,3/17/2014,15,37.5,153,0,0.8937227670000001,25954,18
49467,12/21/2009,10/10/2011,Male,4,foshan,guangdong,CN,29.0,3/31/2014,13,7995,6378.0,3149.0,15256,3/19/2014,13,56.66666667,172,0,0.642847404,9530,22
18531,7/1/2012,10/18/2013,Male,4,guangzhou,guangdong,CN,47.0,3/31/2014,3,1399,0.0,2205.0,4989,1/13/2014,79,43.5,47,0,0.485011024,1399,0
49544,5/23/2010,5/23/2010,Male,4,zhuhai,guangdong,CN,31.0,3/31/2014,7,5882,4097.0,1969.0,8503,2/13/2014,48,110.6666667,299,0,0.822443843,5882,0
50471,3/26/2012,3/26/2012,Male,4,guangzhou,guangdong,CN,33.0,3/31/2014,5,3341,4210.0,0.0,7641,9/22/2012,557,38.5,95,0,0.576580291,3441,1
17165,8/18/2012,8/18/2012,Female,4,shenyang,liaoning,CN,33.0,3/31/2014,2,2104,1040.0,0.0,4027,8/28/2012,582,10.0,10,0,0.567767569,2104,0
33441,8/22/2012,8/22/2012,Male,4,puyang,henan,CN,52.0,3/31/2014,19,14987,6948.0,7319.0,17570,1/16/2014,76,28.44444444,158,0,0.853330677,14987,0
56904,11/15/2007,4/6/2008,Female,4,shenzhen,guangdong,CN,47.0,3/31/2014,2,1419,980.0,818.0,2401,8/8/2013,237,464.0,464,0,0.7470553940000001,1419,0
19310,4/24/2007,4/5/2008,Male,4,shenzhen,guangdong,CN,57.0,3/31/2014,18,19609,6295.0,12886.0,31294,3/2/2014,30,37.82352941,219,0,0.6881341470000001,19609,0
51579,6/15/2012,6/15/2012,Female,4,shanghai,shanghai,CN,39.0,3/31/2014,2,958,1024.0,0.0,2616,6/17/2012,654,2.0,2,0,0.4,958,0
58473,12/21/2009,12/23/2009,Female,4,beijing,beijing,CN,41.0,3/31/2014,6,5583,2300.0,3268.0,9685,12/9/2013,114,101.6,218,1,0.606800207,14839,5
30863,7/20/2009,6/14/2010,Male,4,guangzhou,guangdong,CN,50.0,3/31/2014,3,1401,0.0,2215.0,5088,1/15/2014,77,89.0,171,0,0.427244497,1401,2
42266,11/20/2011,11/20/2011,Male,4,beijing,beijing,CN,39.0,3/31/2014,2,1572,2450.0,0.0,4154,2/12/2013,414,2.0,2,0,0.7,1572,0
60642,4/29/2012,4/29/2012,Male,4,beijing,beijing,CN,43.0,3/31/2014,6,4635,4018.0,565.0,5683,5/23/2013,314,77.8,275,0,0.806756995,4635,0
14289,7/24/2011,9/5/2011,Male,4,zhongqing,zhongqing,CN,39.0,3/31/2014,10,9362,5949.0,5124.0,17512,1/15/2014,77,45.44444444,199,0,0.728176679,9977,1
36136,12/13/2010,1/7/2011,Male,4,shanghai,shanghai,CN,46.0,3/31/2014,3,479,0.0,1790.0,3992,12/15/2013,108,87.0,173,0,0.453997996,13037,34
36842,9/4/2006,6/20/2013,Female,4,shanghai,shanghai,CN,36.0,3/31/2014,2,1645,0.0,,2085,6/22/2013,284,2.0,2,0,1.036983213,1645,0
14111,4/11/2011,5/19/2011,Female,4,jilin,jilin,CN,60.0,3/31/2014,19,18955,11871.0,7167.0,28274,2/17/2014,44,36.72222222,205,0,0.753801726,27326,2
22724,11/11/2010,11/25/2010,Female,4,shantou,guangdong,CN,29.0,3/31/2014,12,7534,5498.0,3387.0,14637,11/14/2013,139,49.90909091,237,0,0.62196625,7534,0
61763,8/17/2010,8/18/2010,Male,4,nanjing,jiangsu,CN,66.0,3/31/2014,15,12989,8128.0,6159.0,22700,2/27/2014,34,49.14285714,193,0,0.6587,12989,0
39627,5/15/2010,5/15/2010,Male,4,YOTSUKAIDOCITY,CHIBA,JP,44.0,3/31/2014,3,1109,1902.0,0.0,3588,3/31/2013,367,17.0,31,0,0.6,1109,0
22550,9/1/2010,9/3/2010,Male,4,shanghai,shanghai,CN,53.0,3/31/2014,13,9105,7320.0,2176.0,13853,12/21/2013,102,51.91666667,203,0,0.743867032,9105,0
10964,1/13/2013,1/13/2013,Female,4,osta Mesa,alifornia,US,50.0,3/31/2014,7,19910,3956.0,9322.0,52786,1/10/2014,82,60.33333333,192,0,0.6870878640000001,20710,1
29563,2/24/2008,2/24/2008,Male,4,nanning,guangxi,CN,36.0,3/31/2014,5,1422,445.0,2342.0,3356,2/25/2014,36,107.5,287,0,0.656454112,1422,0
9737,7/14/2006,11/19/2006,Male,4,beijing,beijing,CN,38.0,3/31/2014,11,10601,4527.0,6608.0,14761,3/4/2014,28,50.9,261,0,0.7819483770000001,10601,0
40710,5/18/2010,3/4/2012,Male,4,beijing,beijing,CN,43.0,3/31/2014,9,7079,4980.0,2931.0,10502,1/6/2014,86,74.5,237,0,0.733866882,7079,0
50180,7/26/2012,1/29/2013,Male,4,xian,shanxisheng,CN,55.0,3/31/2014,9,4497,2071.0,2530.0,8075,11/10/2013,143,35.625,90,0,0.6529027860000001,4497,0
12418,6/27/2008,7/7/2008,Female,4,guangzhou,guangdong,CN,34.0,3/31/2014,8,9649,2176.0,6095.0,15449,12/9/2013,114,62.28571429,200,0,0.620760567,12129,1
42594,5/11/2012,5/11/2012,Male,4,guangzhou,guangdong,CN,32.0,3/31/2014,11,5891,3655.0,5048.0,16381,10/26/2013,158,53.3,201,0,0.561944326,5891,0
10168,6/7/2007,7/14/2007,Male,4,,,HK,53.0,3/31/2014,8,5925,2850.0,3825.0,10471,1/31/2014,61,93.85714286,356,0,0.698193105,5925,0
41886,11/23/2011,9/17/2013,Female,5,wenzhou,zhejiang,CN,42.0,3/31/2014,7,40589,0.0,24527.0,44175,2/25/2014,36,26.83333333,93,0,0.89078936,40589,0
38987,2/28/2008,4/18/2008,Male,4,KLANG,SELANGOR,MY,53.0,3/31/2014,9,24315,20064.0,6877.0,21454,3/21/2014,11,72.25,207,1,1.064647618,24315,1
11173,5/20/2005,8/21/2005,Male,4,shenzhen,guangdong,CN,43.0,3/31/2014,12,10603,2270.0,8234.0,17927,3/23/2014,9,46.90909091,136,0,0.6907725779999999,11243,2
5735,7/9/2011,7/9/2011,Male,4,dalian,liaoning,CN,32.0,3/31/2014,19,9910,5078.0,6620.0,20346,2/22/2014,39,33.44444444,241,0,0.602422589,16171,23
58538,5/25/2010,7/11/2010,Male,4,nanjing,jiangsu,CN,34.0,3/31/2014,15,8977,6003.0,3844.0,15160,3/10/2014,22,50.42857143,149,0,0.655870712,18435,29
6167,1/8/2012,1/8/2012,Female,4,wulumuqi,xinjiang,CN,23.0,3/31/2014,5,3414,3332.0,1808.0,16030,1/18/2014,74,139.75,183,0,0.432,3414,0
29966,9/16/2008,4/10/2010,Female,4,CARLINGFORD,NSW,AU,,3/31/2014,2,5998,3100.0,3100.0,15168,10/12/2013,172,364.0,364,0,0.75,5998,0
4465,9/22/2010,9/22/2010,Male,4,changchun,jilin,CN,38.0,3/31/2014,14,19263,11931.0,12201.0,41848,12/25/2013,98,39.92307692,109,0,0.6928718220000001,19263,0
6461,5/20/2012,5/20/2012,Female,4,beijing,beijing,CN,41.0,3/31/2014,8,5669,4475.0,2268.0,10935,9/9/2013,205,68.14285714,289,0,0.691103795,5669,0
58067,3/1/2009,9/28/2011,Male,4,TP HCM,,VT,35.0,3/31/2014,2,617,1225.0,0.0,3271,9/17/2012,562,0.0,0,0,0.42251605,617,0
5186,3/9/2011,3/9/2011,Male,4,guangzhou,guangdong,CN,41.0,3/31/2014,15,12726,4412.0,9621.0,18953,3/20/2014,12,50.42857143,181,0,0.759827996,12826,1
3481,7/3/2008,12/20/2010,Female,4,dongguan,guangdong,CN,33.0,3/31/2014,6,3897,1914.0,2622.0,6722,8/27/2013,218,93.6,248,0,0.672017257,3897,0
41768,7/31/2011,8/7/2011,Male,4,shenzhenshi,guangdong,CN,48.0,3/31/2014,3,3264,2468.0,1227.0,4395,2/12/2014,49,328.5,354,0,0.8733333329999999,3264,0
41415,7/20/2012,7/26/2012,Male,4,beijing,hebei,CN,39.0,3/31/2014,6,6061,5309.0,1035.0,11690,8/9/2013,236,75.8,239,0,0.6047775879999999,7196,1
31987,9/4/2011,9/4/2011,Male,4,beijing,beijing,CN,29.0,3/31/2014,5,3769,4175.0,747.0,7410,10/26/2013,158,137.0,404,0,0.75217274,3769,0
16271,11/24/2012,11/24/2012,Male,4,wuhan,hubei,CN,38.0,3/31/2014,14,5659,4841.0,2762.0,11516,3/19/2014,13,37.0,93,0,0.67640066,5659,0
39947,12/27/2008,11/25/2009,Female,4,guangzhoushi,guangdong,CN,33.0,3/31/2014,4,967,1280.0,0.0,4600,10/13/2013,171,82.66666667,237,0,0.259826087,1094,2
52072,1/20/2013,3/2/2013,Female,4,shenzhenshi,guangdongsheng,CN,30.0,3/31/2014,7,2420,1098.0,4000.0,13621,8/7/2013,238,26.33333333,46,0,0.4168086039999999,2720,1
14475,9/6/2011,9/9/2011,Male,4,shenzhen,guangdong,CN,33.0,3/31/2014,3,4720,0.0,3973.0,6231,11/16/2013,137,17.0,31,0,0.7566666670000001,4720,0
33430,10/5/2012,10/5/2012,Male,4,anshunshi,guizhousheng,CN,46.0,3/31/2014,6,4755,950.0,4575.0,7972,3/8/2014,24,104.0,203,0,0.80312845,4755,0
46032,12/3/2006,9/21/2011,Male,4,maoming,guangdong,CN,42.0,3/31/2014,6,4506,1563.0,4117.0,9199,3/17/2014,15,136.0,307,0,0.6725568000000001,4506,0
6483,7/1/2012,8/13/2012,Male,4,shenzhen,guangdongsheng,CN,39.0,3/31/2014,6,5089,3144.0,0.0,7973,10/25/2013,159,87.6,255,0,0.762460805,5089,0
21360,5/22/2008,5/22/2008,Male,4,beijing,beijing,CN,39.0,3/31/2014,20,30832,15079.0,13495.0,34621,1/4/2014,88,29.57894737,142,0,0.909914214,30832,0
36875,8/30/2006,11/19/2006,Male,4,wenzhou,zhejiang,CN,45.0,3/31/2014,21,15091,8635.0,8209.0,22305,2/26/2014,35,27.55,136,0,0.759540462,15091,0
4829,8/2/2011,8/2/2011,Male,4,zhuhaishi,guangdongsheng,CN,56.0,3/31/2014,15,18879,6064.0,11122.0,28766,12/23/2013,100,36.92857143,101,0,0.715328513,21145,13
58301,2/28/2012,2/28/2012,Male,4,nanjing,jiangsu,CN,33.0,3/31/2014,3,2050,1832.0,590.0,3684,4/9/2013,358,181.5,199,0,0.665689468,2050,0
6889,8/2/2012,8/2/2012,Male,4,HK,HK,HK,37.0,3/31/2014,9,8628,4408.0,5933.0,15925,1/26/2014,66,67.75,286,0,0.721254003,8628,0
30338,7/9/2009,10/28/2009,Male,4,wuhanshi,hubeisheng,CN,55.0,3/31/2014,26,14358,12001.0,5179.0,26250,3/14/2014,18,28.52,103,0,0.6779706670000001,14358,0
23343,3/20/2011,3/20/2011,Male,4,guangzhou,guangdong,CN,43.0,3/31/2014,21,12664,11414.0,3375.0,21321,1/5/2014,87,31.35,140,0,0.671041696,12664,0
50037,3/21/2011,3/21/2011,Male,4,jinjiang,fujian,CN,50.0,3/31/2014,4,613,955.0,766.0,4565,11/25/2013,128,182.6666667,258,0,0.381612267,613,0
39759,10/22/2010,10/22/2010,Male,4,INCHEON,BUPYENG=GU,KR,41.0,3/31/2014,2,692,,0.0,2085,9/21/2012,558,0.0,0,0,0.4,692,0
